periodo_contable,tipo_indicador,nombre_campo,total_registros,cantidad_mala,porcentaje,es_total
202510,variacion,DIRECTA_IAXIS · 410310 · AL,285454,285454,74.36,False
202510,variacion,DIRECTA_IAXIS · 410315 · AL,30623,30623,71.25,False
202510,variacion,DIRECTA_IAXIS · 510305 · AA,511039,511039,0.0,False
202510,variacion,DIRECTA_IAXIS · 510305 · AL,13424853,13424853,54.6,False
202510,variacion,DIRECTA_IAXIS · 510310 · AA,70555,70555,0.0,False
202510,variacion,DIRECTA_IAXIS · 510310 · AL,2559885,0,88.55,False
202510,variacion,DIRECTA_IAXIS · 510315 · AL,87857,0,87.43,False
202510,variacion,TOTAL_PERIODO,19642215,16986826,38.23,True
202511,completitud,CEDIDAS_AS400 · 410305 · AA,3114,0,100.0,False
202511,completitud,CEDIDAS_AS400 · 510305 · AA,5909,0,100.0,False
202511,completitud,CEDIDAS_IAXIS · 410305 · AL,342,0,100.0,False
202511,completitud,CEDIDAS_IAXIS · 510305 · AL,69718,0,100.0,False
202511,completitud,CEDIDAS_TERREMOTO · 263005 · AA,1176,0,100.0,False
202511,completitud,CEDIDAS_TERREMOTO · 263005 · AL,200898,0,100.0,False
202511,completitud,CEDIDAS_TERREMOTO · 410305 · AA,821,0,100.0,False
202511,completitud,CEDIDAS_TERREMOTO · 410305 · AL,75386,0,100.0,False
202511,completitud,CEDIDAS_TERREMOTO · 510305 · AA,355,0,100.0,False
202511,completitud,CEDIDAS_TERREMOTO · 510305 · AL,125512,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 410305 · AA,38174,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 410305 · AL,1189906,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 410310 · AA,3467,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 410310 · AL,190155,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 410315 · AL,19248,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 510305 · AA,508939,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 510305 · AL,14495158,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 510310 · AA,69429,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 510310 · AL,2715092,0,100.0,False
202511,completitud,DIRECTA_IAXIS · 510315 · AL,97895,0,100.0,False
202511,completitud,TOTAL_PERIODO,19810694,0,100.0,True
202511,disponibilidad,disponibilidad_carga,20,0,100.0,True
202511,disponibilidad,frescura_carga,4,0,100.0,True
202511,disponibilidad,valores_en_cero,19810694,81169,99.59,True
202511,validez,CEDIDAS_AS400 · 410305 · AA,3114,0,100.0,False
202511,validez,CEDIDAS_AS400 · 510305 · AA,5909,0,100.0,False
202511,validez,CEDIDAS_IAXIS · 410305 · AL,342,0,100.0,False
202511,validez,CEDIDAS_IAXIS · 510305 · AL,69718,0,100.0,False
202511,validez,CEDIDAS_TERREMOTO · 263005 · AA,1176,0,100.0,False
202511,validez,CEDIDAS_TERREMOTO · 263005 · AL,200898,0,100.0,False
202511,validez,CEDIDAS_TERREMOTO · 410305 · AA,821,0,100.0,False
202511,validez,CEDIDAS_TERREMOTO · 410305 · AL,75386,0,100.0,False
202511,validez,CEDIDAS_TERREMOTO · 510305 · AA,355,0,100.0,False
202511,validez,CEDIDAS_TERREMOTO · 510305 · AL,125512,0,100.0,False
202511,validez,DIRECTA_IAXIS · 410305 · AA,38174,0,100.0,False
202511,validez,DIRECTA_IAXIS · 410305 · AL,1189906,0,100.0,False
202511,validez,DIRECTA_IAXIS · 410310 · AA,3467,0,100.0,False
202511,validez,DIRECTA_IAXIS · 410310 · AL,190155,0,100.0,False
202511,validez,DIRECTA_IAXIS · 410315 · AL,19248,0,100.0,False
202511,validez,DIRECTA_IAXIS · 510305 · AA,508939,0,100.0,False
202511,validez,DIRECTA_IAXIS · 510305 · AL,14495158,0,100.0,False
202511,validez,DIRECTA_IAXIS · 510310 · AA,69429,0,100.0,False
202511,validez,DIRECTA_IAXIS · 510310 · AL,2715092,0,100.0,False
202511,validez,DIRECTA_IAXIS · 510315 · AL,97895,0,100.0,False
202511,validez,TOTAL_PERIODO,19810694,0,100.0,True
202511,variacion,CEDIDAS_AS400 · 410305 · AA,3114,0,87.32,False
202511,variacion,CEDIDAS_AS400 · 510305 · AA,5909,5909,41.16,False
202511,variacion,CEDIDAS_IAXIS · 410305 · AL,342,342,77.22,False
202511,variacion,CEDIDAS_IAXIS · 510305 · AL,69718,0,93.06,False
202511,variacion,CEDIDAS_TERREMOTO · 263005 · AA,1176,1176,0.0,False
202511,variacion,CEDIDAS_TERREMOTO · 263005 · AL,200898,200898,72.47,False
202511,variacion,CEDIDAS_TERREMOTO · 410305 · AA,821,821,0.0,False
202511,variacion,CEDIDAS_TERREMOTO · 410305 · AL,75386,75386,0.0,False
202511,variacion,CEDIDAS_TERREMOTO · 510305 · AA,355,355,0.0,False
202511,variacion,CEDIDAS_TERREMOTO · 510305 · AL,125512,125512,0.0,False
202511,variacion,DIRECTA_IAXIS · 410305 · AA,38174,0,91.7,False
202511,variacion,DIRECTA_IAXIS · 410305 · AL,1189906,1189906,62.8,False
202511,variacion,DIRECTA_IAXIS · 410310 · AA,3467,3467,64.65,False
202511,variacion,DIRECTA_IAXIS · 410310 · AL,190155,190155,66.61,False
202511,variacion,DIRECTA_IAXIS · 410315 · AL,19248,19248,62.17,False
202511,variacion,DIRECTA_IAXIS · 510305 · AA,508939,508939,49.2,False
202511,variacion,DIRECTA_IAXIS · 510305 · AL,14495158,14495158,50.72,False
202511,variacion,DIRECTA_IAXIS · 510310 · AA,69429,69429,0.0,False
202511,variacion,DIRECTA_IAXIS · 510310 · AL,2715092,0,85.78,False
202511,variacion,DIRECTA_IAXIS · 510315 · AL,97895,97895,76.78,False
202511,variacion,TOTAL_PERIODO,19810694,16984596,49.08,True
202512,completitud,CEDIDAS_AS400 · 410305 · AA,2991,0,100.0,False
202512,completitud,CEDIDAS_AS400 · 510305 · AA,5750,0,100.0,False
202512,completitud,CEDIDAS_IAXIS · 410305 · AL,227,0,100.0,False
202512,completitud,CEDIDAS_IAXIS · 510305 · AL,64575,0,100.0,False
202512,completitud,CEDIDAS_TERREMOTO · 263005 · AA,1146,0,100.0,False
202512,completitud,CEDIDAS_TERREMOTO · 263005 · AL,173270,0,100.0,False
202512,completitud,CEDIDAS_TERREMOTO · 410305 · AA,795,0,100.0,False
202512,completitud,CEDIDAS_TERREMOTO · 410305 · AL,52099,0,100.0,False
202512,completitud,CEDIDAS_TERREMOTO · 510305 · AA,351,0,100.0,False
202512,completitud,CEDIDAS_TERREMOTO · 510305 · AL,121171,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 410305 · AA,34484,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 410305 · AL,541850,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 410310 · AA,1529,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 410310 · AL,93601,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 410315 · AL,7368,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 510305 · AA,512100,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 510305 · AL,15151602,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 510310 · AA,70401,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 510310 · AL,2860080,0,100.0,False
202512,completitud,DIRECTA_IAXIS · 510315 · AL,108714,0,100.0,False
202512,completitud,TOTAL_PERIODO,19804104,0,100.0,True
202512,disponibilidad,disponibilidad_carga,20,0,100.0,True
